USAF,STATION NAME,CTRY,STATE,LAT,LON
14230,FISTER-TONNEVIK,NO,,+59.167,+006.050
14240,SAUDA,NO,,+59.650,+006.367
14250,EIK HOVE,NO,,+58.517,+006.517
14260,EIGEROYA,NO,,+58.433,+005.867
14270,LISTA FYR,NO,,+58.117,+006.567
14280,LISTA,NO,,+58.099,+006.626
14281,ULA OIL PLATFORM,NO,,+59.111,+002.846
14300,MANDAL II,NO,,+58.017,+007.450
14301,TONSTAD,NO,,+58.667,+006.717
14310,SIRDAL-SINNES,NO,,+58.933,+006.917
14320,SIRDAL-TJORHOM,NO,,+58.883,+006.850
14321,FIDJELAND,NO,,+58.967,+006.933
14330,MIDTLAEGER,NO,,+59.833,+006.983
14340,VAAGSLI,NO,,+59.767,+007.367
14350,HAUKELISAETER/BROYT,NO,,+59.817,+007.217
14360,LINDESNES FYR,NO,,+57.983,+007.050
14390,KONSMO-HOYLAND,NO,,+58.250,+007.317
14400,BLASJO,NO,,+59.333,+006.867
14401,HYLESTAD-BROKKE,NO,,+59.100,+007.500
14410,HOVDEN-LUNDANE,NO,,+59.583,+007.383
14411,TOTAK,NO,,+59.667,+007.917
14412,HOVDEN,NO,,+59.550,+007.367
14420,BYGLANDSFJORD,NO,,+58.667,+007.800
14440,VALLE,NO,,+59.200,+007.517
14450,SKAFSA,NO,,+59.450,+008.000
14451,SKAFSA,NO,,+59.367,+008.050
14460,OYFJELL-TROVATN,NO,,+59.567,+008.200
14470,HOYDALSMO II,NO,,+59.500,+008.200
14480,OKSOY FYR,NO,,+58.067,+008.050
14490,GJERSTAD,NO,,+58.867,+009.033
14500,MOSSTRAND II,NO,,+59.833,+008.183
14520,KJEVIK,NO,,+58.204,+008.085
14530,HYNNEKLEIV,NO,,+58.600,+008.417
14550,TVEITSUND,NO,,+59.033,+008.517
14590,NELAUG,NO,,+58.650,+008.633
14600,GULLHOLMEN,NO,,+59.433,+010.583
14611,GAUSTATOPPEN,NO,,+59.850,+008.650
14611,GAUSTATOPPEN,NO,,+59.850,+008.650
14620,PORSGRUNN,NO,,+59.083,+009.667
14630,AS,NO,,+59.650,+010.767
14640,LANDVIK,NO,,+58.333,+008.517
14650,TORUNGEN FYR,NO,,+58.400,+008.783
14660,KJELLER AP,NO,,+59.967,+011.033
14670,LYNGOR FYR,NO,,+58.633,+009.150
14680,KONGSVINGER,NO,,+60.183,+012.000
14690,HONEFOSS-HOYBY,NO,,+60.167,+010.250
14700,GVARV,NO,,+59.383,+009.200
14703,NOTODDEN,NO,,+59.566,+009.212
14710,VEGGLI II,NO,,+60.050,+009.150
14730,KONGSBERG BRANNSTASJON,NO,,+59.617,+009.633
14740,LYNGDAL I NUMEDAL,NO,,+59.900,+009.533
14750,SKIEN-GEITERYGGEN,NO,,+59.183,+009.567
14760,JOMFRULAND FYR,NO,,+58.850,+009.550
14770,KONNERUD,NO,,+59.717,+010.150
14771,KONGSBERG IV,NO,,+59.667,+009.650
14780,SVENNER LH,NO,,+58.967,+010.150
14781,LANGOYTANGEN (LH),NO,,+58.983,+009.767
14800,DRAMMEN BERSKOG,NO,,+59.750,+010.133
14801,STOKKE,NO,,+59.233,+010.283
14810,MELSOM,NO,,+59.233,+010.350
14811,SLAGENTANGEN II,NO,,+59.317,+010.517
14820,FERDER LH,NO,,+59.033,+010.517
14825,TORP,NO,,+59.187,+010.259
14830,TORP,NO,,+59.183,+010.267
14840,AURSKOG,NO,,+59.917,+011.583
14843,OSEBERG,NO,,+59.317,+010.450
14850,DANDE-GALLEBERG,NO,,+59.617,+010.217
14860,ASKER,NO,,+59.850,+010.433
14861,OSCARSBORG,NO,,+59.667,+010.617
14870,ALNA,NO,,+59.933,+010.833
14880,HAKADAL,NO,,+60.117,+010.833
14881,OSLO/FORNEBU,NO,,+59.900,+010.617
14882,OSLO/FORNEBU,NO,,+59.900,+010.617
14890,BJORNHOLT,NO,,+60.050,+010.683
14900,TRYVANNSHOGDA,NO,,+59.983,+010.683
14920,OSLO-BLINDERN,NO,,+59.950,+010.717
14921,OSLO BLINDERN AUTO,NO,,+59.950,+010.833
14930,SARPSBORG,NO,,+59.283,+011.117
14940,RYGGE,NO,,+59.379,+010.786
14950,STROMTANGEN FYR,NO,,+59.150,+010.833
14951,BASTAD,NO,,+59.700,+011.300
14960,HOLAND-FOSSER,NO,,+59.817,+011.483
14970,PRESTEBAKKE,NO,,+59.000,+011.533
14980,MAGNOR,NO,,+59.967,+012.217
15000,RAKKESTAD,NO,,+59.383,+011.383
20001,LJUNGBYHED,SW,,+56.083,+013.213
20120,RITSEM,SW,,+67.733,+017.467
20130,RITSEM,SW,,+67.733,+017.467
20180,SUORVA,SW,,+67.533,+018.233
20190,KATTERJAKK A,SW,,+68.417,+018.167
20200,KATTERJAKK,SW,,+68.417,+018.167
20220,ABISKO,SW,,+68.350,+018.817
20230,TORNEHAMN (AUT),SW,,+68.433,+018.633
